,Log
0,0.5679802894592285
1,0.5599358081817627
2,0.5129110415776571
3,0.46345674991607666
4,0.4405490756034851
5,0.4405301809310913
6,0.43813117912837435
7,0.41080982983112335
8,0.3997713261180454
9,0.3839157402515411
10,0.37874006683176215
11,0.3510276625553767
12,0.3511119759999789
13,0.3391868855272021
14,0.3353403051694235
15,0.32531619444489485
16,0.3294970393180848
17,0.32321096460024523
18,0.324747825923719
19,0.32675737440586095
20,0.3269759785561335
21,0.321196816184304
22,0.3151007424230161
23,0.3168709551294645
24,0.31717675447463994
25,0.32009710256869983
26,0.32688608655223145
27,0.32626060502869747
28,0.3232482527864391
29,0.3227629582087199
30,0.32157552050006005
31,0.31787445209920406
32,0.3143049225662694
33,0.31125269041341896
34,0.30867069619042536
35,0.3079288552204768
36,0.3119518772975819
37,0.3070914713959945
38,0.31034599359218895
39,0.31340083777904515
40,0.313143996203818
41,0.30782322940372286
42,0.3055606553720874
43,0.3105667463757775
44,0.31209903160731
45,0.30940638417782995
46,0.30627266523685864
47,0.30379547923803335
48,0.3016694942299201
49,0.3051675963401795
50,0.304908342221204
51,0.30337646145087027
52,0.3042125791873572
53,0.300682846042845
54,0.30376833027059386
55,0.30956451062645235
56,0.30844122275971536
57,0.30640585566389156
58,0.30426354125394667
59,0.3053552389144898
60,0.3044181045938711
61,0.3033446688805857
62,0.30133713143212454
63,0.29911469388753176
64,0.29947994030438935
65,0.3011322518189748
66,0.30029022604671873
67,0.29933257576297306
68,0.2973819694657256
69,0.29725051096507477
