,Log
0,0.07864755392074585
1,0.046641260385513306
2,0.040854434172312416
3,0.04504910111427307
4,0.04591788053512573
5,0.042756507794062294
6,0.039707754339490614
7,0.04061989486217499
8,0.043359862433539495
9,0.04200980067253113
10,0.040248784151944245
11,0.04012100398540497
12,0.03809603819480309
13,0.03649505547114781
14,0.03455754121144612
15,0.03363359719514846
16,0.03299113231546738
17,0.03190639283921983
18,0.03254715392464085
19,0.03212286829948425
20,0.0315798975172497
21,0.03338692134076899
22,0.03230719203534334
23,0.031434220572312675
24,0.030896136760711672
25,0.031183169438288763
26,0.030478170624485722
27,0.031792636428560526
28,0.031723554792075316
29,0.0313410739103953
30,0.030584156513214104
31,0.030472081154584878
32,0.03124552965164184
33,0.03373978243154637
34,0.035082656996590744
35,0.03823153674602508
36,0.038186782115214576
37,0.03775942325592041
38,0.037775302544618264
39,0.037193486094474794
40,0.03692411940272262
41,0.037026927584693545
42,0.0372512700945832
43,0.03707298771901564
44,0.03694864114125569
45,0.03653549370558365
46,0.03632592393996867
47,0.03607914348443348
48,0.03621479443141391
49,0.0362900149822235
50,0.03688174719903982
51,0.036470673405207106
52,0.036266008637986076
53,0.036242360318148564
54,0.036727848919955154
55,0.03723422118595667
56,0.03691169985553674
57,0.037570821827855594
58,0.03734757738598322
59,0.037181831399599706
60,0.037412596530601624
61,0.037027209997177124
62,0.0372795926200019
63,0.03781723137944937
64,0.0376457535303556
65,0.03864466873082247
66,0.03819002589183067
67,0.038337397224762856
68,0.03880636070085608
69,0.03853126083101545
