,Log
0,0.036187946796417236
1,0.04219025373458862
2,0.038625975449879967
3,0.043690383434295654
4,0.04124840497970581
5,0.03670577208201091
6,0.03619773898805891
7,0.04109355062246323
8,0.03821988900502524
9,0.03733308911323548
10,0.03742380033839834
11,0.03605894247690838
12,0.03888761997222902
13,0.03748343672071186
14,0.04003814458847047
15,0.04067313298583032
16,0.03962311323951274
17,0.03862754503885906
18,0.03985594761999031
19,0.043279898166656505
20,0.0423582536833627
21,0.041383718902414504
22,0.04095135046088178
23,0.04814137270053229
24,0.04772634744644166
25,0.04704285584963286
26,0.04575250325379549
27,0.0449216195515224
28,0.04405476307046825
29,0.04313819607098898
30,0.0448427930954964
31,0.04470148868858815
32,0.045244397539081
33,0.04523723791627324
34,0.04458198377064297
35,0.04469359086619484
36,0.04523947593328116
37,0.044376622689397724
38,0.04471617478590746
39,0.046028953790664684
40,0.046954291622813164
41,0.046197448457990384
42,0.0455797176028407
43,0.04566407610069623
44,0.04785732958051894
45,0.04739314058552618
46,0.04677599161229236
47,0.04659395044048628
48,0.048369648505230345
49,0.04806793332099915
50,0.04756690590989356
51,0.04685991085492648
52,0.04693617235939458
53,0.04652760978098269
54,0.04648091793060303
55,0.04653082149369376
56,0.046951750914255776
57,0.046534860956257786
58,0.0461011832043276
59,0.045674578348795576
60,0.04572033491290984
61,0.04537965693781453
62,0.04489436036064512
63,0.04522355645895005
64,0.044865632974184486
65,0.044649625366384345
66,0.04423696692310164
67,0.04419261918348426
68,0.04398156853689665
69,0.04361356837408885
