,Log
0,0.11098992824554443
1,0.06727823615074158
2,0.057721475760142006
3,0.05455461144447327
4,0.04656692743301392
5,0.04707945386568706
6,0.0424967748778207
7,0.04075508564710617
8,0.041165139940049916
9,0.03915143013000488
10,0.038340834054079925
11,0.04168971379597982
12,0.03929493977473333
13,0.03863203951290676
14,0.03786692619323731
15,0.03671658039093018
16,0.03528420714771047
17,0.03501592079798381
18,0.0506434158275002
19,0.04992863535881043
20,0.051517015411740266
21,0.05716677145524459
22,0.05752514497093533
23,0.05766164263089499
24,0.05828103542327882
25,0.05714591879111071
26,0.05696235321186208
27,0.05545430949756078
28,0.05537881933409593
29,0.05634511311848959
30,0.05640953394674486
31,0.0559211652725935
32,0.05632507801055908
33,0.05561980605125427
34,0.055810027463095525
35,0.05602632131841447
36,0.05510874696680017
37,0.05472703983909205
38,0.05479160486123501
39,0.05592101961374283
40,0.05489282927862028
41,0.05506845031465803
42,0.05458020470863165
43,0.055293443528088654
44,0.05439532730314466
45,0.05407451028409211
46,0.0538338727139412
47,0.05315793057282765
48,0.05252145504464908
49,0.05186734557151794
50,0.05160908254922605
51,0.050973822291080766
52,0.05191238196390979
53,0.05317744281556871
54,0.05367034456946633
55,0.05363467335700989
56,0.053421837196015474
57,0.053390243957782614
58,0.05319133754503929
59,0.05346916317939758
60,0.054584965354106466
61,0.05471414616031031
62,0.054322178401644265
63,0.05455569364130497
64,0.05450496673583984
65,0.05421051563638629
66,0.0544771783387483
67,0.05500701157485737
68,0.05483836540277453
69,0.0542532307761056
