,Log
0,0.0274733304977417
1,0.03832918405532837
2,0.07103904088338217
3,0.07645747065544128
4,0.07595959901809693
5,0.07171210646629333
6,0.06756602866309029
7,0.0674513503909111
8,0.07611504528257582
9,0.07973753213882447
10,0.0784251256422563
11,0.07596435646216075
12,0.07944539877084586
13,0.08039348040308272
14,0.08218415180842083
15,0.07903776690363885
16,0.07832335023319022
17,0.0768359767066108
18,0.07564837054202432
19,0.08114864528179169
20,0.0854743520418803
21,0.08764645457267761
22,0.0969006807907768
23,0.09349015106757483
24,0.09508369684219362
25,0.09508784459187436
26,0.09283033565238671
27,0.09035485131399973
28,0.08922627876544821
29,0.08921028772989908
30,0.09035175846469018
31,0.09046784602105618
32,0.08828409512837727
33,0.0872841056655435
34,0.08587587560926165
35,0.08609422047932942
36,0.08485428868113337
37,0.08364365602794446
38,0.08264495164920121
39,0.08149535208940506
40,0.08366406690783618
41,0.08288219003450303
42,0.08264532477356668
43,0.0820105793801221
44,0.08272196319368151
45,0.08135004147239354
46,0.08029828933959313
47,0.07945134739081065
48,0.08145083213339047
49,0.08118216156959533
50,0.08017574922711242
51,0.08292910112784459
52,0.08243095312478407
53,0.08169982720304418
54,0.08074461871927434
55,0.07988744867699486
56,0.07919432301270334
57,0.0785721232151163
58,0.07815951007907672
59,0.07740470071633655
60,0.07768646517737965
61,0.07951055899743109
62,0.07858697857175553
63,0.07801924925297497
64,0.08095547786125769
65,0.0805447751825506
66,0.08010413397603959
67,0.07950008441420162
68,0.07874310966851054
69,0.07925312774521964
