,Log
0,0.03749096393585205
1,0.0385013222694397
2,0.029238879680633545
3,0.02539496123790741
4,0.026624679565429688
5,0.027909576892852783
6,0.028022757598331997
7,0.02603321522474289
8,0.04135673575931125
9,0.040060418844223025
10,0.03838287700306286
11,0.045468658208847046
12,0.04526001673478346
13,0.04386165738105774
14,0.042215824127197266
15,0.04027393087744713
16,0.04093760953230016
17,0.04019279612435235
18,0.04081799795753078
19,0.040678420662879945
20,0.041278197651817686
21,0.04293374039910056
22,0.04241862245227979
23,0.041396111249923706
24,0.04058974266052246
25,0.04242066236642691
26,0.04205101507681387
27,0.04249306235994611
28,0.041911577356272725
29,0.041042174895604445
30,0.04031184604091029
31,0.03934376314282417
32,0.04140694213635994
33,0.040701704866745896
34,0.04025545290538243
35,0.04036996761957805
36,0.03960428527883582
37,0.03921229745212355
38,0.038693533493922315
39,0.038193510472774514
40,0.03793300797299642
41,0.0383594660531907
42,0.038194391616555155
43,0.037517956712029205
44,0.04033133453792997
45,0.04000625532606374
46,0.040027111134630575
47,0.0404098927974701
48,0.04018924552567152
49,0.04067116260528565
50,0.040896598030539126
51,0.04040912481454703
52,0.04039068491953725
53,0.040086913991857466
54,0.03966488946567883
55,0.03973191018615451
56,0.03931454712884469
57,0.03909006920354121
58,0.03899424055875359
59,0.039326666792233796
60,0.03925540799000225
61,0.03903628453131646
62,0.03883767695654007
63,0.038762465119361884
64,0.03855583117558407
65,0.03821097088582589
66,0.03793412980748647
67,0.03906584311934079
68,0.03892992112947548
69,0.03863860879625594
