,Log
0,0.030061304569244385
1,0.02376219630241394
2,0.03916094700495402
3,0.04144833981990814
4,0.0473868727684021
5,0.042346427838007614
6,0.043402220521654405
7,0.044695883989334106
8,0.043042666382259794
9,0.045108234882354735
10,0.046046045693484215
11,0.04486717780431111
12,0.0437358205135052
13,0.04315881218229021
14,0.04667903582255045
15,0.044298186898231506
16,0.04298594418693991
17,0.0422113835811615
18,0.04210473048059564
19,0.046576684713363646
20,0.04626941680908203
21,0.04589060219851407
22,0.046552111273226525
23,0.04583385835091273
24,0.044849939346313476
25,0.04372180654452397
26,0.04435228418420862
27,0.043713742068835666
28,0.04886198043823242
29,0.048235877354939775
30,0.0474115821623033
31,0.04679797030985355
32,0.047354179801362924
33,0.04648751020431518
34,0.04544849055153982
35,0.045211013820436255
36,0.045143634886355005
37,0.04470584267064144
38,0.044335085612076976
39,0.045643065869808194
40,0.04484643878006353
41,0.04625229324613298
42,0.046400968418564906
43,0.04822746325622905
44,0.04789536661571926
45,0.04971465338831362
46,0.04894940650209467
47,0.04837828129529953
48,0.04788964256948354
49,0.049108980894088744
50,0.04831632562712127
51,0.05117855736842522
52,0.050975085429425505
53,0.05131753947999742
54,0.050600931861183855
55,0.05009711001600538
56,0.0498552636096352
57,0.049382199501169136
58,0.04877662658691406
59,0.04920207560062408
60,0.04868059666430364
61,0.048074585776175224
62,0.04918011218782455
63,0.04867970570921898
64,0.048452460765838624
65,0.04843945394862782
66,0.048310297638622685
67,0.04834231208352482
68,0.0480380628419959
69,0.04770543915884835
