,Log
0,0.6603846549987793
1,0.5873386561870575
2,0.4714684685071309
3,0.39862655103206635
4,0.35767159461975095
5,0.361695259809494
6,0.3266573803765433
7,0.3222464248538017
8,0.2972224884563022
9,0.2860368490219116
10,0.2863685597072948
11,0.2678717325131098
12,0.27691253790488607
13,0.2830415878977094
14,0.29509659210840855
15,0.2947825081646442
16,0.2930847616756663
17,0.2944047715928819
18,0.28387179500178283
19,0.27768997550010677
20,0.2886479979469662
21,0.28428087993101636
22,0.2795215508212214
23,0.28135802100102103
24,0.27150544643402097
25,0.2797323236098656
26,0.29043277104695636
27,0.2989118312086378
28,0.2932737469673157
29,0.2915728708108266
30,0.28694131681996005
31,0.2870042249560356
32,0.28920149983781757
33,0.28516130938249473
34,0.2887511304446629
35,0.2866424322128296
36,0.28813808995324214
37,0.2917082952825647
38,0.2894101005334121
39,0.2944529533386231
40,0.29511832754786427
41,0.29795642410005846
42,0.29231607913970953
43,0.28923729468475695
44,0.28653869363996726
45,0.28556386932082806
46,0.28562382180640045
47,0.2871445367733638
48,0.2886024433739332
49,0.28775807261466985
50,0.2909392106766795
51,0.29356436431407934
52,0.297269510772993
53,0.2974045883726191
54,0.30485203808004213
55,0.30252357785190864
56,0.3009900743501229
57,0.303673991869236
58,0.3001929865045064
59,0.29828432003657035
60,0.2995423664812183
61,0.30134162883604737
62,0.2983940915455895
63,0.29794303234666597
64,0.29956409747783963
65,0.2967396541075274
66,0.2978930642355735
67,0.29923448141883413
68,0.30020309703937487
69,0.2968937831265587
