,Log
0,0.116055428981781
1,0.06937769055366516
2,0.05743590990702311
3,0.047635599970817566
4,0.045048975944519044
5,0.04418941338857015
6,0.051698190825326104
7,0.04826110601425171
8,0.05468081103430854
9,0.0557206928730011
10,0.05336426604877818
11,0.050402397910753884
12,0.05488155438349797
13,0.05203265803200858
14,0.05350941022237142
15,0.05699775367975235
16,0.05544781334259931
17,0.05429240730073717
18,0.05224962610947459
19,0.05046337246894837
20,0.051370053064255496
21,0.05170718106356535
22,0.05210753109144129
23,0.05098538845777513
24,0.05064473152160646
25,0.05291537825877851
26,0.05438163545396594
27,0.05342588041509902
28,0.0530436552804092
29,0.05251561999320985
30,0.05133728827199629
31,0.050535421818494804
32,0.05596395152987856
33,0.0551898198969224
34,0.05432204518999373
35,0.05428603953785367
36,0.05437604156700341
37,0.05720009615546779
38,0.05614855656257043
39,0.05596446096897126
40,0.0549144323279218
41,0.05380474243845259
42,0.053190430929494464
43,0.05264815552668139
44,0.05342756642235651
45,0.05347790925399117
46,0.05297774456916972
47,0.05388700589537621
48,0.05313010969940497
49,0.05465585589408875
50,0.054318103135800835
51,0.0538489784185703
52,0.053587370323684984
53,0.05329085500152023
54,0.05290024714036422
55,0.05279461187975747
56,0.05215305717367875
57,0.052874287654613626
58,0.05262053113872722
59,0.05400607585906982
60,0.05337891617759329
61,0.05322966940941349
62,0.052951853426675945
63,0.052582970820367336
64,0.05244837815944965
65,0.05234995032801773
66,0.052106867975263454
67,0.05189997220740599
68,0.052618482838506286
69,0.05564450366156442
