,Log
0,0.014815986156463623
1,0.027912050485610962
2,0.04667178789774577
3,0.03862018883228302
4,0.06773136854171753
5,0.06190486749013265
6,0.07322353976113456
7,0.06772404909133911
8,0.06878648863898383
9,0.06440397500991821
10,0.06101024692708795
11,0.06410237153371175
12,0.06165409546632033
13,0.06310932976858956
14,0.061565224329630526
15,0.058920696377754204
16,0.05766174021889181
17,0.05634184678395589
18,0.0594104622539721
19,0.060135319828987115
20,0.05960766758237566
21,0.05786370147358287
22,0.05606493224268374
23,0.054882896443208054
24,0.05318304061889648
25,0.056582542566152715
26,0.05938302808337741
27,0.058034368923732205
28,0.05777890517793852
29,0.05647807518641153
30,0.055877931656375994
31,0.056032022461295114
32,0.0548744039102034
33,0.05447446774033938
34,0.05343732493264333
35,0.05266784628232319
36,0.05224386743597081
37,0.051430209686881605
38,0.05076133899199656
39,0.05007218122482299
40,0.04980895722784646
41,0.048959801594416284
42,0.050685653852861966
43,0.05309890210628508
44,0.05267817311816744
45,0.05213363015133401
46,0.051711208008705295
47,0.054094050079584115
48,0.05324439856470847
49,0.05280059456825256
50,0.05244624030356314
51,0.05246429833082052
52,0.051743218358957545
53,0.05240990497447826
54,0.052313468673012474
55,0.053524785808154514
56,0.053687507646125655
57,0.054586090918244984
58,0.055906504897748004
59,0.05539677739143371
60,0.055290217282342125
61,0.055189405718157364
62,0.05484677496410551
63,0.05473150871694087
64,0.05434285035500159
65,0.05428164565201961
66,0.05386597985651955
67,0.053460687398910516
68,0.05328208294467649
69,0.052749262537275035
