,Log
0,0.11899226903915405
1,0.2180672287940979
2,0.24287815888722739
3,0.282589390873909
4,0.2813292145729065
5,0.2750159700711568
6,0.3020955153873988
7,0.2894769608974456
8,0.2893447081247965
9,0.2687928676605224
10,0.2618726762858304
11,0.25632091363271076
12,0.2701654113256014
13,0.26348395006997244
14,0.26419848601023355
15,0.26885416731238365
16,0.2739734369165757
17,0.2787519759602017
18,0.2758457284224661
19,0.2781195968389511
20,0.282200520946866
21,0.30000711300156335
22,0.2984909596650497
23,0.2947676305969556
24,0.288085606098175
25,0.29670361372140736
26,0.29844113411726775
27,0.29773910343647003
28,0.2986709413857296
29,0.2949759443600973
30,0.2887360799697138
31,0.2930071149021387
32,0.2868869665897254
33,0.28151331578983985
34,0.2793326428958348
35,0.28340505063533783
36,0.28190388389535853
37,0.28409718996600103
38,0.2802207867304484
39,0.2745794028043747
40,0.2774519193463209
41,0.2777187100478581
42,0.27510317397672074
43,0.2717007114128633
44,0.27834757831361556
45,0.275239304355953
46,0.27731007718025363
47,0.27268903205792105
48,0.2715694904327392
49,0.2683952283859252
50,0.2690360721419839
51,0.26697774575306815
52,0.26515469461117147
53,0.2614979677730136
54,0.2583768194372003
55,0.2596857366817337
56,0.25650854068889944
57,0.26112339619932495
58,0.25732854766360774
59,0.2548965632915496
60,0.25611976912764245
61,0.2538305886330142
62,0.2519644035233391
63,0.24966922681778664
64,0.24693925197307875
65,0.24460626822529413
66,0.24248811024338449
67,0.24158515649683332
68,0.2387956354929053
69,0.23715157508850096
