,Log
0,0.3999083638191223
1,0.2731423079967499
2,0.3173317313194275
3,0.3434060662984848
4,0.3442219138145447
5,0.3539316852887472
6,0.3479252372469221
7,0.31428708136081696
8,0.28791553444332546
9,0.2628947257995605
10,0.2682159488851374
11,0.2653305580218633
12,0.2577437162399292
13,0.25019170131002155
14,0.26025875409444177
15,0.2665665820240975
16,0.2635523115887362
17,0.26197301016913527
18,0.2589544528409055
19,0.2768563240766526
20,0.2708395208631244
21,0.263158218427138
22,0.26761752367019664
23,0.2652495826284092
24,0.27677412033081067
25,0.28241551610139715
26,0.2882876153345463
27,0.2893474549055101
28,0.2902910709381105
29,0.28844004074732477
30,0.2864837934893948
31,0.28389684669673454
32,0.28097602092858526
33,0.2816888970487259
34,0.28082862070628584
35,0.2889768862062031
36,0.2904729730374105
37,0.28976740335163326
38,0.28313962618509936
39,0.28363048583269124
40,0.28538895670960596
41,0.2848457921118964
42,0.28431112683096604
43,0.28319578414613555
44,0.2891504565874736
45,0.28745584384254796
46,0.288955902799647
47,0.2910619427760443
48,0.2911995406053505
49,0.2927691280841829
50,0.29534899136599385
51,0.29515669208306544
52,0.29296906151861524
53,0.2945094936423832
54,0.291858580979434
55,0.28893086952822555
56,0.2886882602122793
57,0.29132363302954317
58,0.2903800030886117
59,0.29361700117588047
60,0.291095892914006
61,0.2901987250774138
62,0.29379246726868646
63,0.29195555206388235
64,0.29125692385893603
65,0.2916562195980188
66,0.29162377030102177
67,0.29171863285934224
68,0.29504917756370874
69,0.29601631675447737
