,Log
0,0.044534921646118164
1,0.03229522705078125
2,0.06793727477391562
3,0.06858013570308685
4,0.05687650442123413
5,0.05366683006286621
6,0.048550776072910855
7,0.08231104910373688
8,0.08637316359413995
9,0.07940375804901123
10,0.07829858498139815
11,0.07673227787017822
12,0.07607428844158466
13,0.07553069932120188
14,0.07198857466379802
15,0.06915692612528801
16,0.07282578945159912
17,0.0706545544995202
18,0.06968246949346442
19,0.07074131071567535
20,0.06992153042838686
21,0.06772397052158008
22,0.06576492475426714
23,0.06554577002922693
24,0.06442291736602783
25,0.06550553211799034
26,0.06404801209767659
27,0.0624144503048488
28,0.061344483803058486
29,0.05985270142555236
30,0.059078585716985876
31,0.05757564306259154
32,0.056143910595864946
33,0.055322147467557106
34,0.05924974509647913
35,0.05899586114618512
36,0.0584360038911974
37,0.0577130913734436
38,0.05802121987709632
39,0.05687193721532821
40,0.0557963746349986
41,0.05468527617908659
42,0.05415842838065568
43,0.053556957028128876
44,0.052686173386043963
45,0.05220053895660068
46,0.05220967531204223
47,0.05159947896997133
48,0.05094915993359623
49,0.050332831144332874
50,0.04961884255502737
51,0.04930895452315989
52,0.0487162706986913
53,0.04912725753254359
54,0.04863255349072542
55,0.048314988613128655
56,0.049256120857439536
57,0.04873850941658019
58,0.04839648937774916
59,0.04836354951063791
60,0.04777546007125103
61,0.047947376966476433
62,0.047674336130656886
63,0.047505449503660195
64,0.047306632078610925
65,0.04766017921043164
66,0.04785065597562647
67,0.04771372149972354
68,0.04715497511020605
69,0.04758763228143964
