,Log
0,0.18362390995025635
1,0.20941874384880066
2,0.25680341323216754
3,0.2508925199508667
4,0.21848881244659424
5,0.23331368962923685
6,0.22661674874169485
7,0.22688264399766922
8,0.22271888123618233
9,0.22271197438240053
10,0.22756913033398718
11,0.23251084486643475
12,0.2311982008127066
13,0.2255112784249442
14,0.24638377030690511
15,0.2436128593981266
16,0.24280058285769293
17,0.23385923107465106
18,0.23657747005161484
19,0.23178513348102567
20,0.22798077833084832
21,0.23057380589571866
22,0.23149363631787506
23,0.22843149304389954
24,0.2285314655303955
25,0.23316547733086804
26,0.23059001896116466
27,0.23215099530560626
28,0.23787692497516497
29,0.23730031251907344
30,0.23909701839570072
31,0.2400743551552295
32,0.23751304366371842
33,0.24017197770230905
34,0.24743616070066174
35,0.24704700708389277
36,0.24301830497947893
37,0.24493690854624692
38,0.24382568934024904
39,0.24292108118534084
40,0.24189788103103632
41,0.24413354481969554
42,0.24078645401222754
43,0.24336294423450117
44,0.2419025712543063
45,0.24416744709014887
46,0.24524361021975247
47,0.24584689239660892
48,0.2477192440811468
49,0.2550808644294738
50,0.2517439652891719
51,0.255194706412462
52,0.2560178412581389
53,0.2565200946949146
54,0.2578695102171464
55,0.2584019399115017
56,0.264378713934045
57,0.26455572658571697
58,0.2633282663458484
59,0.26340157488981875
60,0.26271731638517526
61,0.26046356078117117
62,0.2643423875172932
63,0.2656853981316089
64,0.2687821461604191
65,0.2676569720109303
66,0.26893411821393814
67,0.26740960163228644
68,0.26804072528645606
69,0.26909127235412594
