,Log
0,0.0494418740272522
1,0.044117242097854614
2,0.0444483757019043
3,0.057352215051651
4,0.05408412218093872
5,0.05117226640383402
6,0.05354710987636021
7,0.057810209691524506
8,0.053598238362206355
9,0.05285388231277466
10,0.0519457838752053
11,0.05585667987664541
12,0.06908947229385376
13,0.06683774079595294
14,0.06348253885904948
15,0.061153970658779144
16,0.06359951986986048
17,0.06297116809421116
18,0.06289026925438329
19,0.06171349883079529
20,0.06134399062111265
21,0.06355522979389538
22,0.06594441248022993
23,0.06838193287452063
24,0.06755933284759523
25,0.07956931453484757
26,0.07857623144432352
27,0.07804655177252634
28,0.07995827444668474
29,0.08093225161234538
30,0.07954909916846983
31,0.07829298451542854
32,0.07664026636065858
33,0.07639581666273229
34,0.07517960241862706
35,0.07420199943913354
36,0.07430020377442643
37,0.0754486620426178
38,0.07399847568609776
39,0.07531183958053589
40,0.07510733168299605
41,0.07477058115459623
42,0.07334309954975926
43,0.07233162224292755
44,0.07188447581397163
45,0.07246648617412733
46,0.07138688133118001
47,0.0733159271379312
48,0.07245166447697854
49,0.0737815546989441
50,0.07290544930626365
51,0.07202080809153044
52,0.07100149483050941
53,0.07048282579139428
54,0.07007060159336438
55,0.06917264951126917
56,0.0686241064155311
57,0.06775069956121775
58,0.06961076845557004
59,0.06907345056533815
60,0.06869356554062642
61,0.06825171266832661
62,0.06926763719982573
63,0.06861046236008408
64,0.0695377771671002
65,0.06968258276130217
66,0.06922130531339506
67,0.06966914236545566
68,0.06935624886250154
69,0.06924509831837249
