,Log
0,0.09380054473876953
1,0.16392114758491516
2,0.14144911368687949
3,0.12675154209136963
4,0.10890110731124877
5,0.10362167159716287
6,0.0974454539162772
7,0.09223373979330061
8,0.09241416719224717
9,0.10145307779312132
10,0.11952673305164682
11,0.11336211363474527
12,0.10874938047849214
13,0.10470823304993765
14,0.1088049054145813
15,0.10914970561861992
16,0.10564669791389913
17,0.10912143852975632
18,0.10731495681561921
19,0.10473811328411102
20,0.10693922213145665
21,0.1044727618044073
22,0.10409788463426674
23,0.10346472014983496
24,0.1061969017982483
25,0.10417022154881404
26,0.10124516266363638
27,0.10277413683278219
28,0.10210304219147254
29,0.10234490633010863
30,0.09984474989675705
31,0.10493156500160693
32,0.10389874740080399
33,0.10171800851821898
34,0.10026406560625348
35,0.09905156162050034
36,0.09774904154442451
37,0.09612138647782174
38,0.09560385269996446
39,0.0943795695900917
40,0.09567435776315084
41,0.09446221448126292
42,0.09449068612830583
43,0.09775944325056943
44,0.09755041864183214
45,0.09740310648213263
46,0.09750782175266998
47,0.09701851879556975
48,0.09606150218418667
49,0.09522126197814942
50,0.09594885274475697
51,0.09589243508302249
52,0.09463693285888096
53,0.09382147700698287
54,0.09338070370934226
55,0.09311909015689578
56,0.0945584732189513
57,0.09662745430551727
58,0.0956972887960531
59,0.09590787092844646
60,0.09528970425246193
61,0.09409315932181575
62,0.0944586027236212
63,0.09390968270599842
64,0.09460433996640719
65,0.09543226523832841
66,0.09504681469789192
67,0.0943894789499395
68,0.09362388175466786
69,0.09293180704116821
