,Log
0,0.05534297227859497
1,0.036665767431259155
2,0.06145606438318889
3,0.05426056683063507
4,0.046953094005584714
5,0.04338968793551127
6,0.04422072853360857
7,0.051605775952339165
8,0.050233695242140025
9,0.05163441896438598
10,0.04986105181954124
11,0.048015400767326355
12,0.047832681582524225
13,0.050254600388663154
14,0.04773375590642293
15,0.045927684754133224
16,0.04512909230063943
17,0.043883711099624634
18,0.042657585520493355
19,0.043523374199867244
20,0.045633497692289804
21,0.045276099985296074
22,0.04396238275196241
23,0.042796785632769264
24,0.04266420125961304
25,0.042351876313869774
26,0.04122056122179385
27,0.04297480625765664
28,0.043345724714213406
29,0.0423601508140564
30,0.04188061721863285
31,0.041254544630646706
32,0.04109535434029319
33,0.04099690914154053
34,0.04123328242983137
35,0.04086357355117798
36,0.0407965908179412
37,0.04080878119719656
38,0.04003461507650522
39,0.03968951851129532
40,0.039412627859813414
41,0.03899193235806057
42,0.03907482152761415
43,0.03881604156710885
44,0.03964657253689236
45,0.0391678758289503
46,0.03865692463326961
47,0.03824132805069287
48,0.03788364420131761
49,0.03782535552978515
50,0.03779917721654854
51,0.038094886220418483
52,0.037631284515812706
53,0.03764967675562258
54,0.037623280828649346
55,0.039018074316637855
56,0.03853927892551087
57,0.03904482208449265
58,0.03883893611067432
59,0.039127800861994425
60,0.03946916783442263
61,0.03946992562663171
62,0.03975945048862033
63,0.0396624319255352
64,0.039284733625558704
65,0.03924200841874787
66,0.039205265578938955
67,0.03887367599150714
68,0.03863012531529302
69,0.03825382505144392
