,Log
0,0.01812964677810669
1,0.06171530485153198
2,0.05867095788319906
3,0.05404195189476013
4,0.04663182497024536
5,0.04361884792645772
6,0.04168987274169921
7,0.038270682096481316
8,0.03595302502314249
9,0.035377258062362665
10,0.03659116138111461
11,0.035017505288124084
12,0.03612038263907799
13,0.03783756920269557
14,0.03631401062011718
15,0.03701548650860786
16,0.03735904483234181
17,0.03790765669610765
18,0.03735051970732839
19,0.04021227359771728
20,0.03886155003593081
21,0.03908488154411315
22,0.0385096410046453
23,0.03738277157147725
24,0.03835721254348754
25,0.03777672465030963
26,0.03780819310082329
27,0.037886691944939745
28,0.03785964538311136
29,0.03867746392885844
30,0.03835626379136116
31,0.03812485001981258
32,0.03845254218939578
33,0.03813143512781928
34,0.0393986770084926
35,0.04045079814063178
36,0.03993686469825538
37,0.039402698215685386
38,0.03952228870147313
39,0.04072173237800598
40,0.04106051747391863
41,0.04038704293114798
42,0.040599867354991825
43,0.04019807550040159
44,0.04014093610975478
45,0.04025050090706867
46,0.04023750538521625
47,0.040432240813970566
48,0.03981583459036691
49,0.04047545909881592
50,0.03985299666722616
51,0.0397421820805623
52,0.04025268329764312
53,0.039777125473375675
54,0.03981612812389027
55,0.03981183149984905
56,0.039855671556372395
57,0.039478136547680565
58,0.03923580404055321
59,0.03900992472966513
60,0.03862720239357871
61,0.03833128463837409
62,0.03815921904548767
63,0.03786702640354634
64,0.03782419516490056
65,0.03837752974394596
66,0.03827460666201008
67,0.038949719246696025
68,0.03909034314362899
69,0.04139337454523359
